iter	Passed	Remaining
0	0	89
1	1	82
2	2	78
3	3	74
4	3	73
5	4	71
6	5	71
7	6	71
8	6	70
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	65
15	12	65
16	13	65
17	14	65
18	15	64
19	16	64
20	16	63
21	17	62
22	18	62
23	19	61
24	20	61
25	21	60
26	22	60
27	23	59
28	23	58
29	24	58
30	25	57
31	26	56
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	35	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
